priority,missing_knowledge,gap_ids,candidate_title,channel_author,url_or_location,date,duration,relevant_timestamps,source_tier,appears_to_teach,must_verify,expected_blocker_resolved,rights_access
P0,Official ebook,broad,btmm_ebook.pdf via Wayback Machine,Steve Mauro,web.archive.org snapshot of beatthemarketmaker.com/ebook/btmm_ebook.pdf,unknown,n/a,n/a,T1,Unknown (live URL 404),Snapshot existence,Cheapest T1 win,Free if archived
P1,TDI construction,"A-086,A-039",Traders Dynamic Index source (.mq4/.mq5/.cs),Dean Malone via EarnForex/GitHub,https://github.com/EarnForex/Traders-Dynamic-Index,current,n/a,n/a,T4-adjacent,RSI 13 price line 2 signal 7 band 34 StdDev 1.6185 — full source,Hash download; preserve conflict with course RSI(21),A-086 at tool tier,Free open source
P1,TDI as taught by author,"A-085,A-086,C-021",X01-X03 Dean Malone TDI classes,Dean Malone,in-repo,unknown,3:24 total,full,T3/T4,TDI settings and reading,Band basis/period on tape?,A-086/C-021,Owned; A-03
P1,TDI/MAs/pivots per Mauro,"A-039,C-023,C-024",X20 TDI + X19 Moving Averages and Pivot Points + X18 Market Timing,Steve Mauro,in-repo,2012-06-02,2:20 total,full,T3,Indicator construction/reading,Pivot formula + clock; ADR mentions,C-023/C-024,Owned; A-03
P1,Blue tracer / ADR / EMA tools,"A-133,A-100,C-011,C-022",MQL5 Market BTMM MT5 ports (Multi EMAs / Session Boxes / ADR),MQL5 vendors,https://www.mql5.com/en/market/product/154431,current,n/a,n/a,T4-adjacent,Claims blue tracer = prior-day H/L; ADR + 3xADR,Closed source; claims unverified; repaint undocumented,A-133/A-100 candidates,Paid closed-source
P1,DMR format,A-042,X21 Kar and Kim on DMR,Mauro students/staff,in-repo,2012-06-02,0:43:39,full,T3,What DMR actually is,Tool vs video-format,A-042,Owned; A-03
P1,BTMM TDI variant,A-086,TradingView BTMM|TDI open-source Pine,The_Trading_Jedi,https://www.tradingview.com/script/ailrNbYh-BTMM-TDI/,2024-05-15,n/a,n/a,T6,BTMM-specific TDI,Read Pine source; compare canonical params,A-086 corroboration,Free
P2,M/W variants & pattern families,"A-022,SR-10..15",PATTERNS AND SETUPS.pdf,Unknown,https://www.coursehero.com/file/100489987/PATTERNS-AND-SETUPSpdf/,unknown,n/a,n/a,T4/T6,Confirmed vs Advanced M/W; Half-Batman types; London types 1-3; railroad tracks,Provenance; paywalled,SR-10..15,Paid/partial
P2,Stop-hunt definition,A-049,BTMM Secrets.pdf,Unknown,https://pdfcoffee.com/btmm-secretspdf-pdf-free.html,unknown,n/a,n/a,T4,Stop hunt definition (fetched),Authorship,A-049 partial,Free mirror rights unclear
P2,Peak formation (3rd party),A-010,Peak Notes.pdf,Atherstone Makaure,https://pdfcoffee.com/peak-notespdfpdf-1-pdf-free.html,unknown,n/a,n/a,T6 quarantine,Peak = turning/anchor point; 3 hits,Hindsight-flavored by own text,A-010 research only,Free mirrors
P2,Seminar notes broad,broad,Private Study Notes from Seminar of Steve Mauro,Unknown,https://pdfcoffee.com/the-market-maker-method-private-study-notes-from-seminar-of-steve-mauro-pdf-free.html,unknown,n/a,n/a,T4 if genuine,Broad seminar notes,Provenance mandatory,multiple,Free mirror rights unclear
P2,Course PDF (branded),broad,steve mauro's btmm pdf.pdf,Claims BTMM branding,https://www.coursehero.com/file/108769643/steve-mauros-btmm-pdfpdf/,unknown,n/a,n/a,T1 if genuine,Unknown,Provenance mandatory,broad,Paywalled
P2,Level definition fragment,A-004,Studocu BTMM seminar notes,Unknown,https://www.studocu.com/row/document/tumaini-university-makumira/elements-of-commerce/btmm-steve-mauro-indicator-they-are-for-confluence-and-confirmation-do-not-use-them-to-make/16629001,unknown,n/a,n/a,T4/T6,Level = long sustained run; consolidation days are not levels,In-page verification,A-004 candidate,Account-gated
P2,M/W 13-EMA leg rule,A-011,CrysfoAnalysis BTMM walkthrough,CrysfoAnalysis,https://www.crysfoanalysis.com/btmm-forex-strategy-demystified-a-walk-through-of-steve-mauros-famous-approach/,unknown,n/a,n/a,T6 hypothesis only,First leg closes beyond 13 EMA; second outside then back inside,Needs T1 confirmation — never doctrine,A-011 research hypothesis,Free
P2,Community live charts,H5 col 15,Forex Factory thread 816894 + M&W-Trading thread,Community,https://www.forexfactory.com/thread/816894-steve-mauro-mmm-beat-the-market,ongoing,n/a,n/a,T6,Real-time posted charts,—,Prospective evidence pool,Free
P2,Prerequisites & answer keys,prerequisite,X11/X12/X15/X16/X17 (Homework/Candlesticks/Jim/Quiz Answers),Steve Mauro,in-repo,2012-06-02,~4:40 total,full,T3,Candlesticks; homework review; quiz answers,—,Diagnosis-5 items,Owned; A-03
REJECTED,Everything,all,missionforex 11.83GB course dump,Pirate vendor,https://missionforex.com/index.php?product_id=3781,n/a,n/a,n/a,none,4 courses / 101 files exist,DO NOT USE — piracy,none,Rejected
REJECTED,Practice charts,H5 col 15,Telegram archives (@studyBTMM etc.),Unvetted,https://t.me/s/btmmsekenvideo,n/a,n/a,n/a,none,Redistribution,DO NOT USE — rights unclear,none,Rejected
